Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
1,12168,NES,10-Yard Fight,Football,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/10%20yard%20fight.jpg?raw=true,,$4.31,$21.23,1,1985-10-01
2,37965,NES,10-Yard Fight [5 Screw],Football,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/10%20Yard%20Fight.jpg?raw=true,,$3.74,$29.99,1,1985-10-01
3,12169,NES,1942,Other,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/1942.jpg?raw=true,,$10.29,$37.70,1,1986-11-01
4,37996,NES,1942 [5 Screw],Other,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/1942.jpg?raw=true,,$12.71,$27.96,1,1986-11-01
5,12170,NES,1943: The Battle of Midway,Other,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/1943%20The%20Battle%20Of%20Midway.jpg?raw=true,,$10.75,$36.40,1,1988-10-01
6,8445,NES,3D WorldRunner,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/6a/NES3dworldrunnerbox_mod.png,,$8.61,$33.66,1,1987-09-01
7,38021,NES,3D WorldRunner [5 Screw],Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/6a/NES3dworldrunnerbox_mod.png,,$7.65,$30.49,1,1987-09-01
8,12171,NES,720,Sports,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/720.jpg?raw=true,,$5.95,$13.73,1,1989-06-01
9,12172,NES,8 Eyes,Action & Adventure,https://www.mobygames.com/images/covers/l/33004-8-eyes-nes-front-cover.jpg,,$6.87,$25.94,1,1990-01-01
10,12173,NES,A Boy and His Blob Trouble on Blobolonia,Action & Adventure,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/A%20Boy%20and%20His%20Blob.jpg?raw=true,,$8.99,$26.01,1,1990-01-01
11,12174,NES,A Nightmare on Elm Street,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/30/A_Nightmare_on_Elm_Street_NES_box_art.jpg,,$34.47,$121.17,1,1990-10-01
12,8451,NES,Abadox,Action & Adventure,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/Abadox.jpg?raw=true,,$9.00,$23.81,1,1990-03-01
13,8453,NES,Action 52,Action & Adventure,https://image.gamevaluenow.com/nes/action_52.jpg,,$176.18,$299.99,1,1991-01-01
14,8455,NES,Addams Family,Action & Adventure,https://www.mobygames.com/images/covers/l/107779-the-addams-family-nes-front-cover.jpg,,$11.94,$38.50,1,1992-01-01
15,8456,NES,Addams Family Pugsley's Scavenger Hunt,Action & Adventure,https://www.mobygames.com/images/covers/l/246769-the-addams-family-pugsley-s-scavenger-hunt-nes-front-cover.jpg,,$63.85,$129.99,1,1993-08-01
16,8458,NES,Advanced Dungeons & Dragons Dragon Strike,Strategy,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/181680.jpg,,$37.00,$72.13,1,1992-07-01
18,8460,NES,Advanced Dungeons & Dragons Hillsfar,Strategy,https://raw.githubusercontent.com/ramiabraham/cover-art-collection/master/nes/Advanced%20Dungeons%20and%20Dragons%20Hillsfar.jpg,,$10.50,$27.45,1,1991-01-01
17,8459,NES,Advanced Dungeons & Dragons Heroes of the Lance,Strategy,https://upload.wikimedia.org/wikipedia/en/8/8f/Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png,,$85.88,$160.01,1,1993-02-01
